id,title,platform,skills_addressed,difficulty,prerequisites,description,url
c11,Docker Mastery,Udemy,"Docker, DevOps, Software Engineering",Intermediate,"Command Line, Basic Programming","Build, test, deploy containers with Docker.",https://www.udemy.com/course/docker-mastery/
c12,100 Days of Code: The Complete Python Pro Bootcamp,Udemy,"Python, Programming, Automation",Beginner,,Master Python by building 100 projects in 100 days.,https://www.udemy.com/course/100-days-of-code/
c13,Learn Git and GitHub,Codecademy,"Git, Version Control, Collaboration",Beginner,,Learn how to use Git for version control and managing your code.,https://www.codecademy.com/learn/learn-git
c14,System Design Interview Course,ByteByteGo,"System Design, Architecture, Backend",Advanced,"Software Engineering, Programming",Learn how to design scalable and robust backend systems.,https://bytebytego.com/
c15,Pre-Algebra & Arithmetic Foundations,Khan Academy,"Basic Math, Pre-Algebra, Mathematics",Beginner,,"Learn core arithmetic, fractions, decimals, and negative numbers.",https://www.khanacademy.org/math/pre-algebra
c16,Algebra 1,Khan Academy,"Algebra, Mathematics",Beginner,Basic Math,"Master foundational algebra, solving equations, and graphing lines.",https://www.khanacademy.org/math/algebra
c17,Calculus 1,Khan Academy,"Calculus, Mathematics",Intermediate,Algebra,"Limits, derivatives, and introduction to integration.",https://www.khanacademy.org/math/calculus-1
c18,Linear Algebra,Khan Academy,"Linear Algebra, Mathematics",Intermediate,Algebra,"Master vectors, matrices, and transformations.",https://www.khanacademy.org/math/linear-algebra
c19,Probability and Statistics,Khan Academy,"Statistics, Probability, Data Analysis",Beginner,Basic Math,"Learn to analyze data, find patterns, and calculate probability.",https://www.khanacademy.org/math/statistics-probability
c20,Mathematics for Machine Learning,Coursera,"Linear Algebra, Calculus, Statistics",Intermediate,"Algebra, Python",Bridge the gap in your math skills for data science.,https://www.coursera.org/specializations/mathematics-machine-learning
c21,Google Digital Marketing & E-commerce,Coursera,"Marketing, SEO, E-commerce, Email Marketing",Beginner,,Learn to manage digital marketing campaigns and online stores.,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
c22,The Complete Digital Marketing Course,Udemy,"Marketing, SEO, Social Media, Ads",Beginner,,"Master digital marketing: SEO, YouTube, Facebook Marketing & More.",https://www.udemy.com/course/learn-digital-marketing-course/
c23,B2B Sales Masterclass,Udemy,"Sales, B2B, Negotiation, Communication",Beginner,,Learn foundational enterprise sales methodologies.,https://www.udemy.com/course/b2b-sales-masterclass/
c24,HubSpot Sales Software Certification,HubSpot Academy,"Sales, CRM, HubSpot",Beginner,,Learn how to use HubSpot CRM free tools to close more leads.,https://academy.hubspot.com/courses/hubspot-sales-software
c25,Product Management: Build Great Products,Udemy,"Product Management, Agile, Business Strategy",Beginner,,Learn how to manage software products and lead technical teams.,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/
c26,Accounting Fundamentals,Coursera,"Accounting, Finance, Excel",Beginner,,Build a strong foundation in accounting principles and statements.,https://www.coursera.org/learn/wharton-accounting
c27,Business and Financial Modeling,Coursera,"Finance, Excel, Financial Modeling",Intermediate,"Accounting, Excel",Learn to build financial models for corporate valuation.,https://www.coursera.org/specializations/wharton-business-financial-modeling
c28,Project Management Professional (PMP),Coursera,"Project Management, Agile, Leadership",Intermediate,Basic Business Knowledge,Prepare for PMP certification with Google's robust curriculum.,https://www.coursera.org/professional-certificates/google-project-management
c29,Google UX Design Professional Certificate,Coursera,"UX Design, UI Design, Figma, Prototyping",Beginner,,"Learn the foundations of UX design, including wireframes and Figma.",https://www.coursera.org/professional-certificates/google-ux-design
c30,Learn Figma: User Interface Design Essentials,Udemy,"Figma, UI Design, Wireframing",Beginner,,"Master Figma and design beautiful, modern interfaces.",https://www.udemy.com/course/learn-figma/
c31,Graphic Design Specialization,Coursera,"Graphic Design, Typography, Branding",Beginner,,Learn the fundamental concepts of graphic design via CalArts.,https://www.coursera.org/specializations/graphic-design
c32,Motion Design with After Effects,Skillshare,"Motion Graphics, Animation, After Effects",Intermediate,Graphic Design,Learn to animate your designs.,https://www.skillshare.com/
c33,Web Design for Everybody,Coursera,"Web Design, HTML, CSS",Beginner,,Learn web design basics including responsive layouts.,https://www.coursera.org/specializations/web-design
c34,Good with Words: Writing and Editing,Coursera,"Writing, Copywriting, Editing, Communication",Beginner,,"Improve your writing style, clarity, and persuasive abilities.",https://www.coursera.org/specializations/good-with-words
c35,Successful Negotiation,Coursera,"Negotiation, Communication, Leadership",Beginner,,Master essential negotiation strategies and tactics.,https://www.coursera.org/learn/negotiation-skills
c36,The Art of Public Speaking,Coursera,"Public Speaking, Communication, Presentation",Beginner,,Learn to present and speak confidently to an audience.,https://www.coursera.org/learn/public-speaking
c37,English for Career Development,Coursera,"English, Communication, Resume Writing",Beginner,,Improve English language skills for interviews and CVs.,https://www.coursera.org/learn/careerdevelopment
c38,Premiere Pro CC for Beginners,Udemy,"Video Editing, Premiere Pro",Beginner,,Learn how to edit videos like a professional.,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
c39,YouTube Masterclass,Udemy,"Content Creation, Video Editing, YouTube",Beginner,,A complete guide to starting a successful YouTube channel.,https://www.udemy.com/course/youtube-masterclass/
c40,Digital Photography for Beginners,Skillshare,"Photography, Photo Editing, Creative",Beginner,,Master manual camera settings and lighting fundamentals.,https://www.skillshare.com/
